Year,Gas,Emission
1990,CarbonDioxide,24323.76461
1995,CarbonDioxide,25344.5655
2000,CarbonDioxide,27349.10122
2005,CarbonDioxide,31949.48761
2010,CarbonDioxide,34475.63575
1990,Methane,6268.472032
1995,Methane,6205.020413
2000,Methane,6324.364859
2005,Methane,6815.830655
2010,Methane,7195.561915
1990,NitrousOxide,3240.67095
1995,NitrousOxide,3192.851016
2000,NitrousOxide,3143.297834
2005,NitrousOxide,3366.647148
2010,NitrousOxide,3519.556289
1990,HFCs_PFCs_SF6,262.0767683
1995,HFCs_PFCs_SF6,290.8537351
2000,HFCs_PFCs_SF6,428.8060127
2005,HFCs_PFCs_SF6,598.2331234
2010,HFCs_PFCs_SF6,672.1335643
