EarthSurface,CO2Concentration
-0.27,0
-0.45,0
-0.612,294.8
-0.756,0
-0.522,298.2
-0.378,0
-0.666,0
-0.792,0
-0.774,299.2
-0.684,299.9
-0.774,0
-0.594,0
-0.576,0
-0.252,0
-0.126,301.5
-0.522,0
-0.558,0
-0.36,0
-0.36,0
-0.378,303.2
-0.27,301.6
-0.414,0
-0.378,0
-0.45,0
-0.252,304.9
-0.108,0
-0.27,305.5
-0.306,0
-0.522,0
-0.162,306.5
-0.126,0
-0.198,0
-0.432,0
-0.18,0
-0.234,308
-0.198,0
-0.018,0
-0.036,0
-0.018,0
0.18,309.3
0.36,0
0.27,0
0.288,307.9
0.522,0
0.306,310.5
0,0
-0.09,0
-0.09,0
-0.108,0
-0.288,312
-0.018,0
0.054,0
0.18,312.7
-0.216,0
-0.234,314.1
-0.36,0
0.09,0
0.198,0
0.108,315.97
0.036,316.9
0.126,317.64
0.162,318.45
0.18,318.99
-0.27,319.62
-0.144,320.5
-0.054,321.38
-0.036,322.16
-0.054,323.04
0.162,324.62
0.054,324.7
-0.144,326.32
0.036,327.45
0.288,329.68
-0.126,330.18
0,329.4
-0.144,332.05
0.342,333.78
0.198,335.41
0.396,336.78
0.468,338.68
0.54,340.1
0.324,341.44
0.612,343.03
0.27,344.58
0.234,346.04
0.414,347.39
0.666,349.16
0.666,351.56
0.522,353.07
0.774,354.35
0.72,355.57
0.45,356.38
0.504,357.07
0.612,358.82
0.81,360.8
0.576,362.59
0.918,363.71
1.134,366.65
0.792,368.33
0.756,369.52
0.972,371.13
1.08,373.22
1.098,375.77
1.026,377.49
1.17,379.8
1.098,381.9
1.098,383.76
0.972,385.59
1.134,387.37
1.26,389.85
1.026,391.63
1.116,393.82
1.188,396.48
1.332,398.61
1.62,400.83
